"subnetwork_id","subnetwork_name","area","regional","oss","tech"
"138","BSCZ_BONEPUTE1","MAKASSAR","SULAWESI","UME9(10.40.50.10)","2G"
"139","BSCZ_KASIPUTE1","KENDARI","SULAWESI","UME9(10.40.50.10)","2G"
"140","BSCZ_KENDARI2","KENDARI","SULAWESI","UME9(10.40.50.10)","2G"
"141","BSCZ_KENDARI3","KENDARI","SULAWESI","UME9(10.40.50.10)","2G"
"142","BSCZ_LASUSUA1","KENDARI","SULAWESI","UME9(10.40.50.10)","2G"
"143","BSCZ_LAWEWU1","PARE-PARE","SULAWESI","UME9(10.40.50.10)","2G"
"144","BSCZ_MUNA1","KENDARI","SULAWESI","UME9(10.40.50.10)","2G"
"145","BSCZ_PALOPO1","MAKASSAR","SULAWESI","UME9(10.40.50.10)","2G"
"146","BSCZ_PALOPO2","PARE-PARE","SULAWESI","UME9(10.40.50.10)","2G"
"147","BSCZ_POMALAA1","KENDARI","SULAWESI","UME9(10.40.50.10)","2G"
"148","BSCZ_BAUBAU1","KENDARI","SULAWESI","UME9(10.40.50.10)","2G"
"149","BSCZ_MABABULI1","MANADO","SULAWESI","UME9(10.40.50.10)","2G"
"150","BSCZ_PASARWAJO1","KENDARI","SULAWESI","UME9(10.40.50.10)","2G"
"151","BSCZ_SANANA1","MANADO","SULAWESI","UME9(10.40.50.10)","2G"
"152","BSCZ_TERNATE2","MANADO","SULAWESI","UME9(10.40.50.10)","2G"
"153","BSCZ_TERNATE3","MANADO","SULAWESI","UME9(10.40.50.10)","2G"
"154","BSCZ_TOBELO1","MANADO","SULAWESI","UME9(10.40.50.10)","2G"
"155","BSCZ_MANADO8","MANADO","SULAWESI","EMS5(10.174.44.173)","2G"
"156","BSCZ_MANADO9","PALU","SULAWESI","EMS5(10.174.44.173)","2G"
"157","BSCZ_PANIKI2","MANADO","SULAWESI","EMS5(10.174.44.173)","2G"
"158","BSCZ_MANADO10","PALU","SULAWESI","EMS5(10.174.44.173)","2G"
"159","BSCZ_KOTAMOBAGU2","MANADO","SULAWESI","EMS5(10.174.44.173)","2G"
"160","BSCZ SANGIR2","PALU","SULAWESI","EMS5(10.174.44.173)","2G"
"161","BSCZ_TALAUD2","GORONTALO","SULAWESI","EMS5(10.174.44.173)","2G"
"162","BSCZ_PALU5","GORONTALO","SULAWESI","EMS5(10.174.44.173)","2G"
"163","BSCZ_TAVANJUKA","PALU","SULAWESI","EMS5(10.174.44.173)","2G"
"164","BSCZ_BAHONSUAI2","PALU","SULAWESI","EMS5(10.174.44.173)","2G"
"165","BSCZ_LUWUK2","MANADO","SULAWESI","EMS5(10.174.44.173)","2G"
"166","BSCZ_BUYUMBOYO2","PALU","SULAWESI","EMS5(10.174.44.173)","2G"
"167","BSCZ_TOLI-TOLI2","MANADO","SULAWESI","EMS5(10.174.44.173)","2G"
"168","BSCZ_TOLAI2","MANADO","SULAWESI","EMS5(10.174.44.173)","2G"
"169","BSCZ_GORONTALO8","MANADO","SULAWESI","EMS5(10.174.44.173)","2G"
"170","BSCZ_MARISA","MANADO","SULAWESI","EMS5(10.174.44.173)","2G"
"200","BSCZ_PATTIMURA3","AMBON","PUMA","EMS6(10.166.13.151)","2G"
"2000","SDRMGR_GUL_AMBON1","AMBON","PUMA","EMS6(10.166.13.151)","4G"
"2007","SDRMGR_GUL_PALU1","PALU","SULAWESI","EMS5(10.174.44.173)","4G"
"2008","SDRMGR_GUL_GORONTALO1","GORONTALO","SULAWESI","EMS5(10.174.44.173)","4G"
"2009","SDRMGR_GUL_MANADO1","GORONTALO","SULAWESI","EMS5(10.174.44.173)","4G"
"2017","SDRMGR_GUL_MAKASSAR11","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2018","SDRMGR_GUL_MAKASSAR14","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"202","BSCZ_KUDAMATI","AMBON","PUMA","EMS6(10.166.13.151)","2G"
"2021","SDRMGR_GUL_MAKASSAR1","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2022","SDRMGR_GUL_MAKASSAR2","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2023","SDRMGR_GUL_MAKASSAR3","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2024","SDRMGR_GUL_MAKASSAR4","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2028","SDRMGR_GUL_MANADO2","MANADO","SULAWESI","EMS5(10.174.44.173)","4G"
"2029","SDRMGR_GUL_MANADO3","MANADO","SULAWESI","EMS5(10.174.44.173)","4G"
"203","BSCZ_NAMLEA","AMBON","PUMA","EMS6(10.166.13.151)","2G"
"2030","SDRMGR_GUL_MANADO4","MANADO","SULAWESI","EMS5(10.174.44.173)","4G"
"2031","SDRMGR_GUL_MAKASSAR5","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2032","SDRMGR_GUL_MAKASSAR6","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2033","SDRMGR_GUL_MAKASSAR7","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2037","SDRMGR_GUL_PALU2","PALU","SULAWESI","EMS5(10.174.44.173)","4G"
"2038","SDRMGR_GUL_PALU3","PALU","SULAWESI","EMS5(10.174.44.173)","4G"
"2039","SDRMGR_GUL_PALU4","PALU","SULAWESI","EMS5(10.174.44.173)","4G"
"204","BSCZ_BULA","AMBON","PUMA","EMS6(10.166.13.151)","2G"
"2042","SDRMGR_GUL_MANADO5","MANADO","SULAWESI","EMS5(10.174.44.173)","4G"
"2043","SDRMGR_GUL_MANADO6","MANADO","SULAWESI","EMS5(10.174.44.173)","4G"
"2044","SDRMGR_GUL_MAKASSAR8","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2045","SDRMGR_GUL_MAKASSAR9","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2046","SDRMGR_GUL_MAKASSAR10","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2047","SDRMGR_GUL_MAKASSAR12","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2048","SDRMGR_GUL_MAKASSAR13","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"205","BSCZ_MASOHI1","AMBON","PUMA","EMS6(10.166.13.151)","2G"
"2051","SDRMGR_GUL_PALU5","PALU","SULAWESI","EMS5(10.174.44.173)","4G"
"2052","SDRMGR_GUL_PALU6","PALU","SULAWESI","EMS5(10.174.44.173)","4G"
"2053","SDRMGR_GUL_PALU7","PALU","SULAWESI","EMS5(10.174.44.173)","4G"
"2054","SDRMGR_GUL_MAKASSAR15","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2055","SDRMGR_GUL_MAKASSAR16","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","4G"
"2056","SDRMGR_GUL_GORONTALO2","GORONTALO","SULAWESI","EMS5(10.174.44.173)","4G"
"206","BSCZ_SAUMLAKI","AMBON","PUMA","EMS6(10.166.13.151)","2G"
"207","BSCZ_DOBO1","AMBON","PUMA","EMS6(10.166.13.151)","2G"
"208","BSCZ_TUAL","AMBON","PUMA","EMS6(10.166.13.151)","2G"
"2101","ITRAN_PONTIANAK","PONTIANAK","KALIMANTAN","UME8(10.40.48.9)","4G"
"2102","ITRAN_BANJAR","BANJARMASIN","KALIMANTAN","UME8(10.40.48.9)","4G"
"2103","ITRAN_BARITO","PALANGKARAYA","KALIMANTAN","UME8(10.40.48.9)","4G"
"2104","ITRAN_BATULICIN","BANJARMASIN","KALIMANTAN","UME8(10.40.48.9)","4G"
"2105","ITRAN_HULU SUNGAI","BANJARMASIN","KALIMANTAN","UME8(10.40.48.9)","4G"
"2106","ITRAN_KHATULISTIWA","PONTIANAK","KALIMANTAN","UME8(10.40.48.9)","4G"
"2107","ITRAN_KOTAWARINGIN","PALANGKARAYA","KALIMANTAN","UME8(10.40.48.9)","4G"
"2108","ITRAN_PALANGKARAYA INNER","PALANGKARAYA","KALIMANTAN","UME8(10.40.48.9)","4G"
"2109","ITRAN_PALANGKARAYA OUTER","PALANGKARAYA","KALIMANTAN","UME8(10.40.48.9)","4G"
"2110","ITRAN_SINTANG","PONTIANAK","KALIMANTAN","UME8(10.40.48.9)","4G"
"221","BSCZ_SORONG2","SORONG","PUMA","EMS6(10.166.13.151)","2G"
"222","BSCZ_SORONG1","SORONG","PUMA","EMS6(10.166.13.151)","2G"
"223","BSCZ_MANOKWARI1","JAYAPURA","PUMA","EMS6(10.166.13.151)","2G"
